항목명1,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
        혼합조미료,26.138,26.289,26.484,26.707,27.038,27.315,27.422,29.63,39.029,39.596,39.783,41.597,42.927,43.858,45.728,46.765,48.839,50.063,54.007,64.971,67.272,69.273,75.984,81.094,85.825,100,102.3,107.15,110.4,117.51
        스프,,,,,,,,,,,,,,,,,,,,,89.134,102.893,105.137,105.474,105.656,100,107.99,116.17,122.75,124
        이유식,20.534,20.533,20.999,28.587,34.439,34.479,37.172,37.071,45.371,45.793,61.957,60.14,69.417,80.129,79.871,79.869,79.783,79.576,88.148,93.917,94.99,95.235,95.482,96.45,96.926,100,98.4,99.93,92.69,98.84
        김치,20.092,22.178,25.099,29.378,33.747,34.809,35.523,38.795,42.021,42.36,45.286,48.788,52.542,55.621,63.763,70.267,71.959,71.971,72.065,75.103,81.21,86.177,96.133,101.37,100.537,100,107.94,111.1,109.08,109.44
        밑반찬,,,,,,,,,,,,,,,,,,,,,72.982,84.72,92.389,94.413,97.795,100,102.13,104.61,108.61,112.01
        냉동식품,33.099,33.143,33.371,32.96,32.668,35.466,38.162,38.142,49.468,49.427,50.745,51.841,53.567,58.088,60.181,67.046,70.135,72.94,78.784,83.07,83.472,89.697,93.937,94.559,95.155,100,99.82,96.36,97.7,100.09
        즉석식품,,,,,,,,,,,67.771,69.025,69.256,73.034,76.987,75.537,75.814,75.889,75.662,75.121,77.361,90.077,95.287,99.303,99.177,100,99.38,100.94,105.14,109.03
        삼각김밥,,,,,,,,,,,,,,,,,,,,,94.013,96.739,97.116,99.726,100.154,100,99.39,100.34,104.8,109.66
        커피,32.08,32.07,32.289,32.178,34.938,41.826,42.917,46.407,69.542,65.596,55.577,55.929,55.883,58.62,59.671,63.262,68.897,73.414,80.146,86.766,89.151,94.173,98.199,99.328,98.393,100,100.42,94.84,95.66,96.28
        차,45.86,46.487,49.139,52.383,54.248,54.551,59.487,65.442,73.124,73.692,76.11,76.072,76.028,77.195,78.159,79.092,79.691,80.311,85.959,88.49,88.708,91.591,96.072,96.226,98.167,100,97.39,97.94,96.49,96.92
        주스,41.071,42.153,45.74,48.592,51.003,51.934,53.119,53.729,58.711,59.057,58.567,58.846,59.382,59.592,62.106,63.195,63.474,68.429,77.298,85.618,88.884,97.522,101.913,102.328,101.183,100,99.05,98.3,96.93,96.78
        두유,29.933,32.176,35.994,38.039,39.046,39.001,39.826,41.822,50.058,51.738,51.851,51.385,51.463,55.879,58.527,64.839,67.519,68.437,78.312,89.343,89.575,89.709,92.479,99.054,99.875,100,99.6,102.22,108.95,112.39
        생수,,,,,,74.609,80.732,81.739,82.372,82.174,82.564,82.496,82.496,82.282,82.145,82.331,82.448,86.962,87.827,88.808,87.936,94.143,100.013,99.308,99.422,100,99.92,100.05,104.19,109.53
        기능성음료,41.867,45.832,55.551,56.574,56.246,65.641,68.409,63.662,66.221,63.585,62.305,69.453,71.332,72.973,73.263,75.618,76.575,76.568,77.009,86.586,90.568,92.515,93.318,93.853,94.142,100,102.55,102.29,102.79,103.22
        탄산음료,28.843,30.144,33.95,35.488,38.355,39.533,40.366,42.556,46.417,46.967,43.717,45.439,45.385,47.741,50.269,53.388,54.789,56.707,61.293,67.232,70.142,76.807,82.408,87.243,93.315,100,99.54,104.21,104.54,105.6
        혼합음료,,,,,,,,,,,64.901,64.479,64.036,63.592,64.598,66.177,66.845,68.438,71.978,77.834,82.419,86.616,89.563,95.825,98.785,100,101.48,102.42,105.14,110.47
        소주,34.334,37.79,41.693,44.617,47.551,48.283,49.771,50.966,56.884,57.057,68.944,68.415,72.143,76.584,81.76,83.524,83.761,86.719,88.563,94.591,93.928,92.089,91.846,99.004,99.037,100,106.4,112.37,113.35,117.47
        과실주,,,,,,,,,,,94.639,93.314,93.795,94.063,94.323,94.93,96.172,96.165,96.702,95.152,96.623,96.253,95.351,101.049,99.317,100,99.21,95.39,97.29,98.14
        맥주,52.712,54.683,62.176,68.696,70.261,73.947,79.129,82.555,89.075,88.717,85.718,84.033,83.512,88.175,88.29,89.577,86.733,86.144,88.278,91.42,93.777,93.839,95.723,98.955,99.371,100,100.76,107.02,107.45,108.72
        막걸리,47.339,52.629,57.495,60.72,63.622,66.044,72.363,77.202,91.398,93.198,92.645,92.035,91.919,91.75,91.672,91.61,93.107,97.664,98.473,99.297,98.558,99.1,98.377,99.256,99.287,100,101.81,104.73,106.32,106.8
        양주,88.134,85.481,80.697,79.208,71.428,69.744,68.083,69.443,88.696,92.634,81.976,78.886,78.419,78.662,79.211,79.85,81.579,82.983,85.571,87.793,90.473,92.667,93.06,97.488,97.928,100,100.01,100.35,101.69,102.18
        약주,,,,,,,,,,,79.599,78.617,78.51,78.292,80.627,81.946,81.728,82.978,83.757,89.93,92.524,93.688,94.179,99.047,100.438,100,99.43,99.79,100.17,104.07
        담배,17.948,18.271,18.271,18.634,22.614,22.814,26.253,28.938,28.938,33.202,33.202,37.319,42.463,42.931,42.931,54.618,54.618,54.618,54.618,54.618,54.618,55.31,56.355,56.409,56.304,100,100,100,100,100
        남자외의,63.643,64.375,64.645,65.488,65.361,64.464,62.422,61.777,61.777,62.271,64.115,64.714,66.616,67.385,62.79,65.333,72.205,74.372,74.971,76.932,79.726,82.471,87.328,91.986,95.898,100,101.49,101.98,103.06,103.61
        남자상의,59.553,61.414,63.051,65.106,65.885,66.982,67.852,67.852,67.852,70.325,71.604,73.083,73.823,74.11,74.432,75.167,78.405,81.11,82.538,86.126,90.639,93.124,94.37,96.461,100.311,100,102.02,103.04,101.53,102.47
        남자학생복,49.13,50.245,50.818,53.44,56.899,61.37,68.014,75.557,79.304,79.999,83.179,83.817,76.449,81.821,86.111,90.338,100.11,102.896,101.293,109.844,103.65,105.196,117.254,121.526,119.8,100,95.59,100.44,105.37,65.86
        남자하의,,,,,,,,,,68.948,66.156,71.515,71.515,71.515,71.515,71.515,71.515,72.338,75.079,78.786,82.004,84.738,89.354,91.462,95.636,100,101.71,101.92,102.66,103.14
        남자내의,52.904,53.521,54.999,54.858,54.818,57.495,58.458,59.723,63.469,65.851,66.046,65.214,65.215,65.936,66.448,66.304,65.625,65.697,67.128,76.584,82.788,93.852,98.024,99.097,99.43,100,100.41,100.37,100.36,100.81
        여자외의,46.879,52.098,60.145,60.145,60.145,59.9,60.035,60.035,60.035,60.35,61.383,62.611,67.132,70.037,70.681,70.75,71.658,74.112,76.565,81.72,85.96,87.881,91.162,93.463,99.574,100,104.18,105.24,107.49,107.47
        원피스,64.478,67.868,77.257,77.313,77.329,78.038,78.489,78.489,78,76.285,76.285,76.285,76.679,78.65,76.87,74.264,77.754,80.477,83.348,85.403,85.017,88.56,94.274,96.157,97.269,100,101,102.94,105.98,105.41
        여자상의,51.472,56.277,61.265,61.794,62.765,63.741,66.467,66.272,66.029,65.176,66.999,68.338,70.77,74.341,76.127,76.127,76.127,76.127,80.701,84.26,85.049,88.238,90.887,92.943,98.245,100,101.6,102.44,100.93,100.08
        여자학생복,48.036,49.297,49.929,52.52,55.942,60.325,67.348,74.851,78.631,79.38,83.15,84.113,77.248,82.236,86.863,91.236,101.18,104.859,102.031,111.184,103.766,104.916,117.557,121.314,119.488,100,95.91,100.07,104.56,67.5
        여자하의,,,,,,69.727,69.727,69.727,69.727,69.727,72.888,76.059,77.316,77.48,72.062,70.131,75.054,77.661,79.491,84.068,84.658,84.7,87.863,91.465,98.662,100,103.41,105.28,104.76,104.75
        여자내의,53.496,55.029,57.241,59.351,67.682,70.334,72.976,74.546,76.897,81.52,80.666,81.083,83.946,85.391,84.712,84.072,83.589,83.371,83.996,89.041,91.016,92.185,95.324,96.7,98.308,100,102.45,102.58,104.54,105.33
        점퍼,52.917,54.596,56.196,58.833,59.82,59.82,58.52,58.086,58.086,58.28,60.314,64.609,66.192,69.642,67.202,68.812,72.907,76.922,78.133,80.817,84.367,88.106,89.468,91.853,98.201,100,100.04,100.33,101.61,105.09
        티셔츠,34.722,37.698,39.866,45.135,47.494,49.962,55.019,56.784,56.784,56.784,58.814,61.912,64.029,65.99,65.99,67.972,70.555,74.128,76.733,82.848,86.371,87.882,92.733,95.035,97.943,100,101.35,102.19,102.2,102.54
        스웨터,43.893,46.442,53.889,54.053,54.079,56.183,57.119,58.074,60.255,61.29,62.866,66.333,69.443,75.241,79.294,80.255,82.736,86.754,88.232,88.961,91.332,96.141,98.883,98.898,98.918,100,104.84,104.91,104.91,105.79
        청바지,53.924,55.903,58.323,61.686,63.513,64.683,58.328,59.923,75.64,77.548,76.012,76.012,76.012,76.012,76.012,76.392,77.538,77.538,78.226,80.53,81.739,82.066,85.732,95.889,96.574,100,100,100,100,102.7
        운동복,36.726,45.239,52.744,53.646,56.041,57.029,57.029,57.029,57.029,57.029,57.002,57.002,59.106,59.804,58.93,59.41,61.544,63.281,63.871,66.648,71.133,75.796,82.425,89.514,96.395,100,99.82,102.07,102.87,103.39
        등산복,,,,,,,,,,,,,,,,,,,,,88.248,91.632,93.052,94.644,97.867,100,100.43,100.43,102.21,102.14
        아동복,48.279,52.406,55.556,58.416,60.195,59.817,61.417,62.498,62.498,62.498,65.688,69.432,69.958,76.373,81.781,79.709,72.287,71.769,75.012,78.772,82.108,85.844,91.375,96.857,98.686,100,102.12,105.9,106.63,105.07
        유아복,,,,,,53.463,54.776,55.676,55.818,57.379,59.79,61.584,62.232,64.514,67.283,70.43,74.481,76.377,80.004,83.222,84.716,87.567,93.266,95.646,99.149,100,101.54,104.06,103.32,102.03
        양말,70.678,71.25,72.204,73.529,74.843,75.997,77.485,78.758,84.547,86.922,86.973,87.125,87.864,88.835,89.306,89.625,89.655,89.521,89.229,90.895,92.471,95.476,98.097,98.746,99.777,100,99.41,99.51,99.12,99.09
        모자,62.486,64.691,65.834,65.945,68.641,74.53,77.003,77.003,77.003,77.003,77.22,81.531,82.625,87.619,87.819,87.362,87.362,87.362,93.827,97.059,97.059,97.059,97.059,97.059,97.059,100,105.89,106.44,110.93,108.41
        넥타이,56.503,58.19,59.163,61.568,62.385,62.459,62.604,62.927,64.348,69.979,72.078,70.775,72.288,72.288,72.288,72.288,75.999,78.758,83.276,83.511,86.096,86.512,89.199,93.528,100,100,100.05,100.3,100.35,100.44
        장갑,52.775,52.827,52.822,53.085,53.879,56.384,58.118,58.396,62.113,58.828,58.147,57.813,57.168,57.537,58.82,58.976,58.902,59.551,60.725,66.524,68.415,89.848,97.424,98.379,98.595,100,100.95,100.98,101.46,103.97
        의복수선료,47.838,53.423,59.621,65.418,65.195,66.707,70.214,73.571,79.084,78.167,77.673,77.932,77.666,79.42,81.543,83.278,83.93,84.353,86.526,89.877,91.313,92.782,94.594,96.108,98.191,100,101.09,103.39,105.44,108.3
        세탁료,57.922,68.019,75.306,85.062,87.697,87.362,92.087,94.206,94.832,85.411,81.168,79.22,80.133,83.015,84.219,85.159,86.273,87.338,91.688,94.634,94.901,96.531,98.474,99.001,99.556,100,100.93,102.62,104.3,106.12
        의복대여료,,,,,,,,,,,,,,,,,,,,,87.427,89.605,90.991,92.442,94.538,100,102.19,104.43,107.33,110.22
        구두,44.029,44.253,44.539,45.368,45.687,46.523,47.43,49.54,51.421,53.383,55.68,59.478,64.459,69.885,73.818,75.576,75.815,79.336,82.812,85.016,86.578,91.607,96.041,96.022,99.089,100,104.44,105.79,111.29,113.13
        운동화,57.118,58.504,61.554,61.529,60.945,60.506,70.838,73.173,78.779,86.418,88.296,85.456,89.09,90.819,90.142,89.561,90.27,88.927,89.621,92.315,90.83,91.012,97.367,95.041,98.387,100,102.55,103.24,103.25,103.25
        실내화,52.391,55.459,57.352,58.536,58.712,58.707,59.818,60.742,74.955,83.658,78.285,72.321,70.227,70.442,70.567,70.971,70.734,70.527,72.951,88.564,92.571,96.83,98.598,99.225,99.439,100,100.74,100.49,100.95,101.19
        전세,45.294,50.575,54.095,57.065,59.1,61.217,63.534,65.85,66.105,63.171,62.815,65.928,70.685,73.819,75.374,75.425,75.972,77.675,79.624,80.994,82.71,86.529,90.796,93.666,96.503,100,103.17,106.14,107.67,107.86
        월세,58.055,64.796,70.569,75.087,78.498,81.863,84.312,86.188,86.912,84.312,84.134,85.817,87.486,88.573,88.727,87.773,87.495,88.248,89.755,90.882,92.111,94.536,97.155,98.763,99.708,100,100.37,100.51,100.23,99.81
        주택수선재료,31.52,34.013,34.782,35.229,36.484,41.754,45.332,48.325,62.896,63.794,65.343,68.267,69.922,70.848,74.126,79.038,80.033,80.046,85.427,90.709,90.472,92.771,96.744,98.386,99.874,100,99.82,100.16,103.27,105.56
        설비수리비,27.03,34.643,38.722,40.096,43.781,47.859,51.296,55.535,54.602,53.262,55.336,58.287,62.041,67.15,71.365,73.558,74.723,75.66,77.72,79.46,80.063,84.959,89.448,93,95.681,100,102.83,108.87,115.05,120.7
        상수도료,18.034,20.145,21.063,22.615,24.715,28.18,31.445,33.386,39.273,46.318,56.345,64.544,69.404,76.114,79.331,82.234,84.825,88.107,90.937,91.101,91.272,93.06,96.07,97.236,98.029,100,102.7,104.23,105.56,105.46
        하수도료,12.467,12.467,12.467,12.467,13.53,14.218,16.677,19.265,21.044,23.581,25.049,31.15,34.386,38.602,44.023,49.153,53.849,56.569,61.158,61.847,63.625,66.303,76.261,81.58,91.061,100,116.98,131.46,141.38,147.65
        공동주택관리비,28.213,33.983,37.922,43.81,50.598,52.002,55.758,58.396,58.319,55.793,56.002,57.626,58.792,61.624,65.473,68.042,70.843,73.7,77.566,79.759,81.365,83.772,87.407,93.367,96.254,100,103.72,109,114,119.46
        쓰레기봉투료,37.978,44.415,46.072,46.142,46.146,46.146,51.456,61.293,65.938,69.188,73.403,78.671,78.273,81.301,85.474,86.965,88.885,91.509,95.409,95.576,96.626,96.626,96.528,96.629,97.541,100,105.44,109.74,111.31,111.87
        정화조청소료,65.436,72.615,74.581,76.065,76.756,77.394,78.69,79.574,80.548,81.54,81.625,81.76,82.556,83.229,84.23,85.066,85.768,86.569,87.044,89.256,91.29,93.26,96.092,97.805,98.592,100,101.36,102.42,104.98,107.2
        전기료,67.933,72.266,80.285,81.341,81.341,81.722,81.994,84.038,91.825,92.622,93.014,97.26,95.935,92.789,90.379,89.635,90.979,91.338,91.338,91.338,92.116,93.958,95.878,99.476,101.708,100,95.88,89.83,87.2,87.41
        도시가스,30.854,30.622,31.051,32.272,31.556,31.945,32.948,35.68,48.834,45.63,52.08,61.828,55.392,58.3,60.126,62.88,72.017,75.512,80.877,86.163,89.717,97.707,105.167,111.662,118.818,100,82.68,85.55,81.87,84.75
        취사용LPG,22.531,23.382,24.438,25.005,25.804,26.602,27.718,31.525,44.041,36.836,43.886,50.826,49.177,55.031,59.485,63.962,70.7,75.402,99.912,87.198,100.89,112.803,117.021,115.828,117.917,100,94.47,102.54,107.66,104.8
        등유,18.287,21.824,22.702,24.421,24.189,25.1,30.265,36.661,48.934,46.024,56.617,59.787,57.986,66.915,78.971,90.642,97.008,97.627,128.524,100.852,111.603,137.49,143.621,141.286,135.435,100,82.79,89.49,98.3,100.73
        연탄,37.557,40.167,42.081,43.853,46.423,47.749,48.95,49.556,55.76,55.39,55.143,55.295,55.322,56.646,58.635,60.363,61.641,66.198,78.257,85.411,99.112,99.063,99.213,99.8,100.027,100,103.05,113.64,130.48,148.39
        지역난방비,,,,,,,,,,,,,,,,55.603,64.215,65.786,73.998,81.057,81.748,81.864,92.824,97.694,100.136,100,83.19,81.12,79.03,80.31
        부탄가스,,,,,,,,,,,47.755,49.24,50.112,51.182,52.874,55.552,60.807,60.631,70.705,78.233,81.766,91.891,98.985,99.995,99.828,100,98.4,98.94,97.56,96.73
        장롱,41.684,45.193,43.05,44.863,49.333,50.151,53.018,50.09,57.709,53.665,54.538,57.96,60.092,64.474,67.097,71.893,73.9,78.057,81.862,87.931,91.177,98.352,101.696,97.243,98.402,100,107.36,109.42,116.77,122.52
        침대,36.878,41.393,42.059,44.32,50.141,53.28,58.152,58.702,59.523,59.657,59.582,60.981,61.259,66.781,70.772,75.033,76.815,81.842,86.125,90.145,92.629,96.266,98.768,98.768,99.589,100,103.98,107.87,115.06,127.22
        거실장,48.58,52.052,54.875,56.82,64.16,64.293,64.309,56.879,56.316,53.921,53.733,56.598,57.539,60.794,63.866,67.859,69.584,73.328,77.852,84.813,86.453,92.187,94.869,93.992,98.723,100,103.05,105.18,110.34,114.08
        소파,46.167,52.139,52.075,53.741,56.605,58.251,65.1,67.376,70.722,62.027,62.916,67.556,71.65,78.215,78.603,82.042,83.067,85.358,91.073,99.606,101.076,104.672,105.977,98.954,94.651,100,108.52,115.9,120.68,126.07
        책상,43.612,45.564,45.591,47.306,50.707,52.655,55.512,56.561,59.129,56.359,56.118,60.196,64.643,66.785,69.876,73.817,75.386,78.413,82.504,86.809,86.809,92.582,94.101,92.136,95.1,100,103.36,107.78,117.22,119.89
        의자,37.963,40.352,40.416,41.156,44.314,45.493,49.671,51.081,58.331,58.463,58.652,62.665,65.857,71.307,71.542,71.695,71.103,70.727,70.685,76.068,80.966,86.796,91.769,96.948,95.779,100,99.68,91.55,90.8,93.55
        식탁,32.39,32.805,33.136,34.588,40.331,40.524,40.578,40.986,46.752,50.359,51.07,54.683,57.057,62.342,62.462,65.284,67.411,70.001,74.246,83.693,86.196,92.309,95.419,93.699,93.975,100,105.67,111.95,117.55,120.54
        싱크대,62.052,65.151,68.322,68.886,68.98,70.436,71.458,71.569,79.173,78.11,68.523,68.163,68.425,68.471,68.528,68.608,73.211,78.728,83.244,90.043,88.042,90.602,94.086,96.928,99.764,100,103.96,105.46,109.23,115.98
        침구,69.325,72.496,73.328,74.275,76.06,77.599,78.407,79.169,83.895,85.286,85.19,83.862,83.856,83.38,80.676,76.094,76.05,77.413,82.585,89.829,91.9,98.687,101.246,101.621,100.312,100,101.45,102.73,103.83,105.77
        커튼,77.434,78.991,82.324,85.878,86.798,87.712,88.319,88.371,92.23,93.341,93.072,90.785,91.924,91.754,90.831,90.404,90.857,91.045,90.804,91.595,92.393,98.106,99.468,99.875,100.916,100,97.85,96.55,96.56,96.21
        전기밥솥,132.043,131.801,131.12,130.867,131.878,131.8,133.853,136.15,137.391,133.932,128.572,126.086,123.6,121.34,114.418,112.025,109.318,103.149,100.685,109.309,110.158,109.149,108.001,109.191,100.831,100,101.47,96.08,105.53,93.82
        가스레인지,85.171,88.375,88.421,92.315,93.114,93.075,92.989,92.981,92.245,89.857,83.705,81.69,77.826,77.665,77.748,88.044,88.081,86.966,89.461,93.679,94.698,93.624,93.452,97.667,104.377,100,106.17,94.73,96.48,91.51
        전자레인지,149.225,148.744,147.589,146.755,141.537,128.342,124.974,124.408,119.927,114.175,102.567,101.259,101.644,100.277,100.524,101.319,100.315,100.281,96.085,98.955,100.036,101.536,102.863,101.045,99.63,100,103.97,102.75,103.64,105.29
        전기레인지,,,,,,,,,,,,,,,,,,,,,,,,,,100,82.85,73.35,77.8,75.79
        냉장고,120.195,120.678,121.266,120.376,116.333,103.652,99.324,96.75,93.536,95.187,87.99,88.473,88.488,88.899,86.89,84.572,88.159,87.264,85.946,85.495,84.981,84.209,85.632,88.732,96.736,100,98.22,94.28,92.14,92.85
        김치냉장고,,,,,,,,,,,130.3,125.761,127.9,132.634,126.033,118.201,105.685,103.637,99.028,98.24,92.474,95.526,92.048,88.398,95.614,100,96.05,92.36,90.8,92.61
        에어컨,92.839,97.456,98.386,96.107,96.979,98.765,101.341,104.213,106.32,102.715,113.49,115.192,104.705,98.388,93.376,89.182,88.982,88.358,98.107,100.499,96.856,96.178,96.395,95.849,97.839,100,102.38,108.3,109.95,112.12
        선풍기,54.21,54.195,54.431,54.618,54.854,59.012,61.053,61.21,61.279,61.476,61.633,65.084,66.317,60.56,56.395,56.508,56.725,57.742,60.389,75.214,78.812,86.063,93.705,94.968,96.344,100,100.83,90.04,85.7,89.5
        공기청정기,,,,,,,,,,,,,,,,120.511,117.951,116.545,105.639,108.271,106.316,107.025,109.605,113.003,104.603,100,106.22,108.08,106.21,102.04
        세탁기,212.879,212.879,212.91,213.184,205.182,182.916,175.738,168.026,161.381,151.704,128.072,125.169,127.827,113.89,102.153,90.3,87.508,86.311,86.326,87.327,86.831,88.141,89.644,90.105,92.997,100,102.37,105.79,106.64,107.4
        청소기,139.385,139.467,139.399,138.439,160.69,164.515,164.515,161.801,154.754,146.541,130.614,129.209,127.696,126.695,113.698,104.606,92.003,89.902,95.576,97.869,94.557,91.586,92.073,90.192,93.991,100,108.06,106.92,105.25,105.02
        믹서,85.213,85.22,85.317,84.299,83.115,83.115,82.921,82.782,90.332,92.625,92.777,91.092,88.502,89.979,88.741,88.115,87.446,86.602,99.119,103.106,102.739,103.03,102.07,102.646,102.73,100,97.74,97.01,93.95,83.96
        보온매트,,,,,,,,,,,,,,,,,,,,,94.432,94.597,94.644,94.644,95.537,100,101.63,101.65,102.98,108.88
        비데,,,,,,,,,,,,,,,,119.032,117.494,114.14,108.306,106.748,101.292,95.197,97.031,97.158,97.586,100,101.22,92.19,88.51,100.35
        가전제품수리비,,,,,,,,,,,65.067,65.067,65.067,65.067,70.842,73.721,78.046,86.696,86.696,86.696,86.696,86.696,86.696,86.696,94.282,100,108.12,115.06,123.32,125.77
        가전제품렌탈비,,,,,,,,,,,,,,,,,,,,,90.736,90.736,90.736,94.862,95.599,100,101.31,102.85,103.13,103.51
        식기,32.424,34.824,36.305,39.761,40.442,44.036,46.006,48.935,56.841,59.181,58.977,65.428,68.494,72.645,70.882,70.636,71.56,77.75,84.145,82.398,81.163,80.784,87.513,89.477,90.29,100,101.63,106.5,109.42,112.48
        컵,40.095,41.652,43.229,47.557,48.727,52.476,53.136,54.26,61.159,62.913,62.3,70.275,73.162,78.577,76.89,76.154,76.82,82.842,88.661,87.297,86.268,85.973,90.526,90.247,91.175,100,99.21,94.91,92.63,91.38
        솥,74.065,74.027,73.958,74.29,75.015,75.009,75.221,75.103,74.984,74.634,74.421,75.06,74.775,75.035,76.028,78.645,78.514,81.234,85.96,87.526,87.33,91.485,94.193,94.703,98.78,100,96.69,98.51,99.2,100.28
        프라이팬,58.22,60.701,62.241,63.143,64.381,68.459,71.078,71.363,80.291,80.353,78.18,77.444,78.062,79.587,81.887,84.193,85.295,89.364,95.257,100.772,103.442,103.976,102.605,102.344,102.206,100,100.5,99.6,96.72,94.84
        냄비,64.38,69.902,74.829,74.466,74.279,75.136,75.511,75.343,80.496,81.228,80.239,79.416,78.059,77.691,79.724,80.767,80.336,83.984,88.385,91.252,92.623,94.252,97.224,98.871,100.103,100,100.93,99.79,99.28,98.47
        수저,46.85,50.271,51.106,52.128,54.111,57.894,60.008,60.519,66.323,67.423,67.367,67.586,67.574,67.288,74.271,78.183,79.277,84.307,90.113,91.878,91.988,93.713,95.906,97.261,99.171,100,100.83,100.37,101.23,102.87
        밀폐용기,41.636,44.51,46.82,46.98,46.767,48.11,49.365,49.577,53.786,54.708,54.405,54.536,54.047,53.897,55.932,62.726,63.369,65.251,67.928,73.5,71.053,77.448,83.784,84.793,90.877,100,101.19,96.81,101.91,99.83
        부엌용용구,,,,,,,,,,,,,,,,55.92,56.055,56.167,57.443,58.716,66.2,94.559,99.321,98.952,99.132,100,100.03,102.47,104.99,106.73
        보일러,108.394,106.675,105.015,104.396,104.086,103.234,102.358,101.489,96.776,95.451,94.437,91.131,87.196,86.174,85.701,85.306,87.758,89.535,94.966,95.755,95.289,97.702,100.235,100.359,100.271,100,99.91,100.17,100.6,101.08
        건전지,52.419,53.647,54.577,62.054,65.724,67.996,71.548,73.994,79.806,76.475,73.405,72.347,73.98,76.409,79.559,82.399,83.765,86.526,86.841,90.96,93.59,95.111,96.531,97.185,97.676,100,103.81,107.55,108.5,110.96
        디지털도어록,,,,,,,,,,,,,,,,,,,,,84.58,85.511,89.092,101.085,104.508,100,99.59,100.85,102.04,97.92
        세탁세제,62.884,63.102,63.412,63.78,62.611,64.031,67.366,70.328,85.381,80.472,75.046,81.331,87.146,89.266,92.324,91.098,87.477,97.224,104.004,106.972,103.055,108.147,109.618,99.908,100.577,100,91.24,89.58,87.63,87.14
        섬유유연제,,,,,,54.701,54.86,56.934,65.675,65.94,64.892,63.789,62.242,63.145,65.308,69.948,72.856,77.863,86.151,96.158,88.648,97.492,101.06,89.765,91.502,100,95.02,89.07,88.12,86.56
        전구,51.073,52.678,56.988,58.415,60.288,62.633,66.579,72.942,86.708,83.796,80.92,80.458,79.766,79.666,81.207,81.714,81.83,81.898,82.443,83.097,83.539,87.856,98.786,99.334,97.535,100,100.23,95.8,93.6,92.4
        부엌용세제,30.359,32.579,34.148,40.387,42.248,44.417,45.135,47.374,62.257,61.887,60.325,64.719,68.937,70.732,75.286,77.199,77.283,77.476,80.062,87.761,88.791,91.544,97.476,98.069,98.264,100,101.89,101.53,96.67,96.85
        청소용세제,,,,,,,,,,,,,,,,62.814,69.494,74.614,81.315,86.771,88.181,89.93,98.558,99.579,99.669,100,100.37,100.96,101.48,108.91
        살충제,48.353,48.296,48.763,49.988,49.247,48.345,48.534,48.482,61.247,68.4,66.277,64.151,65.399,67.63,70.282,73.568,73.904,73.598,75.315,79.374,81.2,87.859,94.381,96.353,97.996,100,97.68,101.82,103.29,100.95
        가정용비닐용품,39.766,44.869,46.496,46.535,47.052,47.704,49.345,49.584,56.658,56.976,56.293,56.532,57.071,60.13,60.402,63.721,68.737,70.415,75.532,78.16,81.041,88.228,92.551,94.887,98.378,100,99.73,100.67,105.24,116.83
        키친타월,,,,,,,,,,,,,,,,67.58,68.909,71.848,74.596,86.174,88.738,97.332,100.148,101.126,100.281,100,99.05,97.41,97.53,99.88
        방향제,,,,,,,,,,,,,,,,85.782,89.335,90.071,90.564,95.912,99.788,98.823,99.531,98.957,99.929,100,101.06,103.62,105.29,106.36
        습기제거제,,,,,,73.206,72.163,71.62,75.872,73.206,69.418,71.547,78.859,82.481,82.706,76.968,78.02,75.775,77.327,84.465,86.07,93.607,95.952,97.319,94.53,100,105.76,110.25,110.02,101.98
        가사도우미료,15.111,20.016,26.473,28.336,31.127,34.628,38.893,44.063,45.494,45.594,46.17,49.948,52.634,57.287,62.143,63.516,64.173,69.882,73.063,74.185,80.582,85.108,91.199,93.139,96.154,100,101.85,105.5,115.74,120.68
        간병도우미료,,,,,,,,,,,,,,,,74.258,75.539,78.992,82.891,84.853,87.78,90.063,91.656,96.093,98.52,100,101.59,105.13,112.41,117.62
        감기약,41.702,49.211,49.236,49.412,56.991,60.228,62.488,61.704,61.634,59.536,63.436,66.439,68.775,71.413,72.475,73.427,73.824,76.817,84.893,86.49,86.876,89.453,91.741,93.681,95.341,100,102.83,104.04,107.46,110.66
        진통제,38.304,38.48,38.527,38.49,38.027,37.735,37.659,37.37,38.175,37.621,38.851,48.241,54.475,63.525,66.299,69.958,74.691,83.975,89.052,90.899,91.657,92.711,93.658,95.8,98.644,100,107.31,110.39,110.69,114.08
        소화제,30.909,30.871,38.375,39.373,39.05,38.782,39.506,46.073,51.237,53.144,49.618,62.714,62.8,63.437,63.64,66.322,70.417,71.423,72.793,78.655,80.758,85.106,90.33,92.988,96.037,100,100.73,101.12,101.73,111.11
        정장제,,,,,,79.521,79.547,78.659,76.605,72.496,72.689,71.023,70.605,71.835,71.665,77.722,89.62,89.53,89.199,89.096,89.48,94.781,98.664,99.55,99.6,100,100.61,101.66,102.57,105.33
        위장약,56.438,57.642,59.359,59.58,59.899,61.029,61.354,60.896,62.101,61.593,54.854,78.59,78.928,78.512,78.206,78.574,79.327,79.503,82.685,85.684,88.008,89.526,91.907,94.065,96.699,100,101.61,103.4,105.78,108.73
