항목명1,총지수,  식료품 및 비주류 음료,  주류 및 담배,  의류 및 신발,"  주택, 수도, 전기 및 연료",  가정용품 및 가사 서비스,  보건,  교통,  통신,  오락 및 문화,  교육,  음식 및 숙박,  기타 상품 및 서비스
2007년 2월,81.189,72.127,62.548,76.098,79.15,80.821,89.675,87.328,107.498,94.093,81.1,80.155,76.492
2007년 3월,81.66,71.498,62.611,76.098,79.074,81.059,89.675,88.338,107.387,93.609,84.35,80.544,77.695
2007년 4월,81.973,71.707,62.611,76.098,79.15,81.218,89.848,90.609,107.387,93.222,84.501,80.622,77.837
2007년 5월,82.052,71.219,62.674,76.68,79.531,81.138,89.848,91.367,107.276,92.738,84.577,80.699,77.837
2007년 6월,82.052,70.799,62.862,76.68,79.607,81.218,89.848,91.703,107.165,92.544,84.577,80.777,77.908
2007년 7월,82.366,71.707,62.925,76.971,79.911,81.218,89.848,92.124,107.387,92.835,84.652,80.855,77.979
2007년 8월,82.444,71.848,62.987,76.971,80.064,81.932,89.762,91.955,107.387,92.544,84.652,80.933,78.403
2007년 9월,82.915,73.945,62.987,76.971,80.748,82.329,89.848,92.039,107.387,92.351,84.652,80.855,78.756
2007년 10월,83.072,74.084,62.987,77.19,80.824,82.329,89.848,92.376,107.387,92.254,84.728,81.01,79.111
2007년 11월,83.072,72.127,62.987,77.555,81.51,82.407,89.935,93.806,107.387,92.254,84.728,81.01,79.747
2007년 12월,83.386,72.476,62.987,77.772,81.814,82.249,90.021,94.984,107.387,92.448,84.804,81.166,79.96
2008년 1월,83.777,72.686,62.987,77.772,81.586,82.407,90.8,96.246,106.054,93.029,85.257,81.788,81.8
2008년 2월,84.092,73.316,62.987,77.7,81.966,82.329,91.146,96.162,106.054,93.416,85.484,82.177,82.577
2008년 3월,84.876,73.175,62.987,77.772,82.27,82.645,91.233,96.751,106.054,93.609,88.885,83.265,84.277
2008년 4월,85.347,74.294,62.987,77.846,82.956,82.645,91.233,97.845,105.943,93.416,89.112,83.654,84.63
2008년 5월,86.052,74.573,62.987,78.646,83.564,84.549,91.493,101.042,105.832,93.512,89.187,84.198,84.772
2008년 6월,86.601,74.433,62.987,78.719,84.173,85.421,91.493,104.66,105.832,93.416,89.187,84.82,85.054
2008년 7월,87.229,75.831,62.987,78.865,84.402,86.373,91.579,105.921,105.832,94.287,89.187,85.209,86.045
2008년 8월,87.072,77.159,63.363,78.938,84.402,86.373,91.666,102.893,105.832,94.771,89.187,85.597,84.772
2008년 9월,87.151,77.928,63.363,79.01,84.173,86.77,91.752,100.62,105.832,94.384,89.263,85.753,86.187
2008년 10월,87.072,77.299,63.363,79.084,84.173,86.77,91.926,100.369,105.721,94.577,89.263,86.064,86.682
2008년 11월,86.837,77.439,63.363,79.812,84.402,87.484,92.012,95.657,105.721,95.642,89.263,86.219,86.753
2008년 12월,86.837,78.697,63.363,80.54,83.945,87.959,92.099,92.039,105.721,96.707,89.338,86.375,88.38
2009년 1월,86.916,80.375,63.677,80.613,83.717,88.198,93.05,90.441,105.721,96.804,89.338,86.453,88.309
2009년 2월,87.543,80.654,63.739,80.831,83.869,88.435,93.137,93.049,105.721,96.223,89.565,86.686,90.928
2009년 3월,88.17,81.982,63.802,80.976,84.097,88.514,93.224,93.723,105.721,96.514,90.774,87.23,92.06
2009년 4월,88.405,83.31,63.802,80.685,84.097,88.753,93.31,94.48,105.721,96.804,90.926,87.619,90.432
