항목명1,총지수,  식료품 및 비주류 음료,  주류 및 담배,  의류 및 신발,"  주택, 수도, 전기 및 연료",  가정용품 및 가사 서비스,  보건,  교통,  통신,  오락 및 문화,  교육,  음식 및 숙박,  기타 상품 및 서비스
1989년 5월,37.325,29.283,25.574,44.571,36.444,56.474,43.852,30.879,143.605,72.599,23.732,32.818,40.949
1989년 6월,37.387,29.117,25.804,44.847,36.702,57.044,43.852,30.879,143.605,72.731,23.876,33.153,40.873
1989년 7월,37.355,28.67,25.99,44.951,36.735,57.33,45.358,31.6,143.605,72.861,23.876,33.629,41.098
1989년 8월,37.637,29.187,26.289,45.055,36.831,57.472,45.321,31.6,143.605,73.189,23.929,33.677,41.136
1989년 9월,37.979,29.801,26.312,45.332,36.928,57.615,45.321,31.6,143.605,73.517,24.054,33.748,41.098
1989년 10월,38.072,29.754,26.358,46.679,36.992,57.853,45.321,31.6,143.605,73.517,24.054,34.104,41.061
1989년 11월,38.135,29.66,26.381,47.231,37.218,57.995,45.321,31.6,143.455,73.584,24.054,34.295,41.061
1989년 12월,38.104,29.494,26.381,47.37,37.284,58.042,45.321,31.6,143.455,73.648,24.054,34.462,41.323
1990년 1월,38.985,30.19,26.496,48.182,37.483,59.567,45.986,31.827,153.372,75.205,24.919,34.938,41.872
1990년 2월,39.229,30.446,26.523,48.182,37.641,59.99,47.471,31.827,153.217,75.357,25.107,35.423,42.084
1990년 3월,39.635,30.543,26.658,48.329,37.956,59.99,47.471,31.827,159.652,75.814,26.76,35.908,42.464
1990년 4월,40.081,31.374,26.766,48.575,38.31,60.112,47.663,31.858,159.806,76.346,26.947,36.206,42.422
1990년 5월,40.527,32.143,26.847,49.115,38.941,60.112,47.759,31.89,159.959,76.423,27,36.916,42.38
1990년 6월,40.729,32.335,27.01,49.115,39.454,60.171,48.046,31.89,154.29,76.119,27.053,37.625,42.167
1990년 7월,40.851,32.431,27.117,49.164,39.847,60.473,48.237,31.89,149.694,76.119,27.053,37.812,42.084
1990년 8월,41.014,32.72,27.171,49.164,40.044,60.534,48.237,31.89,149.694,76.27,27.053,37.848,42.762
1990년 9월,41.258,33.296,27.497,49.212,40.242,60.593,48.189,31.89,149.694,76.423,27.081,37.999,42.677
1990년 10월,41.379,33.233,27.524,49.654,40.557,60.715,48.381,31.89,149.694,76.423,27.081,38.297,42.591
1990년 11월,41.42,32.752,27.578,49.998,40.952,60.895,48.477,32.243,149.694,76.423,27.081,39.305,42.549
1990년 12월,41.662,32.752,27.605,50.146,41.542,61.077,48.86,32.914,149.694,76.498,27.081,39.641,42.507
1991년 1월,42.555,33.681,27.957,50.39,41.818,62.405,49.34,33.425,149.846,77.641,28.148,41.545,45.049
1991년 2월,43.123,34.544,28.173,50.489,42.173,63.491,49.722,34.289,149.387,77.944,28.014,42.702,44.795
1991년 3월,43.651,35.024,28.146,50.538,42.41,63.551,50.057,35.664,147.396,78.25,29.294,43.075,44.754
1991년 4월,43.853,35.313,28.146,50.587,42.843,63.732,50.153,35.664,147.396,78.402,29.508,43.224,44.754
1991년 5월,43.975,35.024,28.227,50.587,43.435,63.853,50.249,35.664,147.396,79.01,29.482,43.858,44.795
1991년 6월,44.258,35.185,28.281,51.813,43.829,63.973,50.297,35.664,147.547,79.163,29.455,44.866,44.754
1991년 7월,44.543,35.249,28.065,51.863,44.381,63.973,51.782,35.793,147.396,79.24,29.589,45.464,44.838
1991년 8월,44.908,36.273,27.821,51.863,44.578,63.973,51.733,35.857,147.396,79.316,29.642,45.688,44.795
1991년 9월,45.152,36.721,27.74,52.108,44.774,63.732,51.973,35.888,147.396,79.39,30.068,45.8,44.754
1991년 10월,45.233,36.497,27.713,52.843,45.051,63.611,52.117,35.888,147.396,79.467,30.148,45.912,45.049
1991년 11월,45.435,36.497,27.713,54.168,45.208,63.793,51.973,36.112,147.396,79.544,30.148,46.658,45.261
1991년 12월,45.516,36.433,28.254,54.365,45.405,64.155,51.973,36.112,147.396,79.772,30.202,46.882,45.219
1992년 1월,45.841,36.849,28.714,54.463,45.523,65.06,51.878,36.56,147.396,79.999,30.309,47.33,45.517
1992년 2월,46.125,37.074,29.012,54.561,45.682,65.241,51.829,37.199,147.396,80.305,30.548,47.853,46.236
1992년 3월,46.612,37.041,29.066,54.561,45.918,65.422,51.829,38.448,147.396,80.685,32.923,48.226,46.363
1992년 4월,46.896,37.394,29.039,54.609,46.35,65.542,51.829,38.479,147.396,80.762,32.976,48.748,46.322
1992년 5월,47.18,37.843,29.039,54.805,46.586,65.664,53.027,38.479,147.396,80.837,33.057,49.122,46.49
1992년 6월,47.262,37.81,29.12,54.953,46.942,65.844,53.075,38.575,147.547,80.762,33.083,49.346,46.448
1992년 7월,47.464,37.778,29.553,55.003,47.297,65.905,52.98,39.599,147.547,80.837,33.083,49.495,46.448
1992년 8월,47.545,37.906,29.716,55.003,47.493,65.964,52.883,39.759,147.547,81.065,33.083,49.607,46.787
1992년 9월,47.707,38.195,29.797,55.101,47.573,66.026,52.788,39.759,147.547,81.447,33.083,49.681,46.872
1992년 10월,47.666,37.65,29.851,55.494,47.809,66.146,52.74,39.759,147.547,81.447,33.11,49.98,47.253
1992년 11월,47.423,36.657,30.203,55.738,48.006,66.146,52.883,39.759,147.547,81.447,33.11,50.166,47.38
1992년 12월,47.545,36.721,30.338,55.837,48.243,66.328,53.027,39.791,147.547,81.599,33.163,50.353,47.337
1993년 1월,47.91,37.234,30.365,55.984,48.361,66.991,53.027,40.462,147.547,82.208,33.43,50.876,47.465
1993년 2월,48.234,37.234,30.555,56.131,48.518,67.413,52.98,42.127,150.612,83.198,33.563,51.025,47.761
1993년 3월,48.843,37.522,31.042,56.23,48.795,67.715,54.128,42.318,150.612,84.11,36.257,51.399,48.059
1993년 4월,49.127,37.906,31.393,56.377,49.11,67.836,54.176,42.318,147.855,84.491,36.498,51.773,48.016
1993년 5월,49.29,38.098,31.448,56.916,49.267,67.897,54.224,42.318,147.702,84.339,36.498,51.884,48.314
1993년 6월,49.533,38.578,31.313,57.063,49.544,68.017,54.224,42.318,147.702,84.491,36.579,51.959,48.61
1993년 7월,49.493,38.386,31.313,57.063,49.701,68.137,54.224,42.318,147.702,84.645,36.579,52.107,48.779
1993년 8월,49.655,38.738,31.313,57.015,49.858,68.017,54.128,42.318,146.324,84.567,36.579,52.182,48.906
1993년 9월,49.898,39.539,31.367,57.063,49.938,68.017,54.224,42.318,143.412,84.72,36.526,52.22,48.864
1993년 10월,50.1,39.795,31.393,57.407,50.056,68.017,54.368,42.349,143.412,85.099,36.526,52.332,48.821
1993년 11월,50.019,39.411,31.42,57.407,50.134,68.017,54.416,42.349,143.412,85.328,36.526,52.444,49.033
1993년 12월,50.303,40.051,31.42,57.505,50.292,68.5,54.464,42.349,143.412,85.556,36.552,52.705,49.288
1994년 1월,50.953,40.947,34.1,57.702,50.529,69.828,54.512,42.861,143.412,86.09,36.605,53.638,49.881
1994년 2월,51.52,41.875,34.209,57.897,50.647,70.25,54.656,43.629,143.412,86.393,37.005,54.609,50.008
1994년 3월,51.966,42.004,34.236,57.946,50.765,70.372,54.799,45.325,143.412,86.851,38.526,54.982,50.051
1994년 4월,52.047,41.78,34.289,57.996,50.962,70.431,55.183,45.932,143.412,86.851,38.659,55.169,50.051
1994년 5월,52.088,41.683,34.344,58.143,51.159,70.551,55.519,45.581,143.412,87.078,38.739,55.318,50.22
1994년 6월,52.453,42.004,34.344,58.241,51.278,70.612,55.709,45.677,143.412,87.003,40.366,55.58,50.22
1994년 7월,52.9,43.061,34.37,58.339,51.514,70.612,55.806,45.995,143.412,87.003,40.553,55.654,50.178
1994년 8월,53.306,43.957,34.344,58.339,51.789,70.31,57.051,46.092,148.009,86.623,40.5,55.691,50.516
1994년 9월,53.143,43.509,34.289,58.29,51.987,69.647,57.147,45.932,145.097,85.861,40.474,55.691,50.559
1994년 10월,52.981,43.028,34.289,58.535,52.184,69.948,57.099,45.772,139.581,85.785,40.527,55.953,50.644
1994년 11월,53.063,42.965,34.289,58.585,52.42,70.19,57.099,45.74,139.581,86.393,40.58,56.176,50.686
1994년 12월,53.104,42.836,34.317,58.634,52.5,70.25,57.099,45.804,139.581,86.166,40.634,56.662,50.94
1995년 1월,53.601,43.494,34.272,58.728,52.756,72.007,57.61,46.024,139.632,87.861,41.195,57.074,51.122
1995년 2월,53.82,43.888,34.237,58.787,52.81,71.221,57.728,46.506,139.632,88.489,41.419,57.366,51.174
1995년 3월,54.368,44.282,34.272,58.847,53.079,71.577,57.847,47.132,139.632,88.758,43.92,57.66,51.227
1995년 4월,54.696,44.457,34.272,58.847,53.079,71.865,59.145,48.24,139.632,89.205,44.368,58.011,51.33
1995년 5월,54.806,44.107,34.272,58.965,53.347,71.936,59.204,48.531,139.632,90.909,44.546,58.127,51.382
1995년 6월,54.643,43.319,35.113,59.202,53.562,71.221,59.204,48.193,139.632,90.013,44.635,58.362,51.382
1995년 7월,54.806,43.232,35.393,59.202,53.723,71.291,59.381,48.193,139.632,89.923,45.574,58.653,51.382
1995년 8월,55.135,43.713,35.393,59.32,53.83,71.363,59.381,48.626,139.632,89.923,45.797,58.829,52.629
1995년 9월,55.628,44.763,35.569,59.439,54.152,71.435,59.322,49.398,139.632,90.551,46.021,59.004,52.786
1995년 10월,55.355,43.407,35.884,59.616,54.366,71.577,59.322,49.591,139.632,89.923,46.11,59.238,52.786
1995년 11월,55.245,43.057,35.919,59.794,54.474,71.721,59.322,48.531,139.773,89.923,46.154,59.59,52.994
1995년 12월,55.628,43.363,35.954,59.616,54.796,71.865,60.916,49.3,139.773,90.372,46.423,59.822,53.253
1996년 1월,56.176,44.063,36.024,59.734,55.065,72.58,61.683,49.783,139.773,90.82,46.914,60.408,53.98
1996년 2월,56.397,44.369,36.094,59.913,55.547,72.722,61.742,49.591,139.773,91.896,47.094,60.759,54.241
1996년 3월,56.78,44.282,36.094,59.971,55.386,72.794,61.742,49.639,139.773,93.688,49.684,61.051,54.292
1996년 4월,57.163,45.025,36.234,59.971,55.601,72.794,61.742,50.265,139.773,93.599,49.952,61.343,54.396
1996년 5월,57.492,45.726,36.374,60.504,55.816,72.866,61.742,50.699,139.773,93.15,50.041,61.519,54.5
1996년 6월,57.492,45.551,36.374,60.623,55.923,72.866,61.742,50.795,139.353,93.509,50.13,61.695,54.604
1996년 7월,57.766,45.594,39.633,59.497,56.244,72.866,61.683,52.674,138.794,93.421,50.175,61.929,54.656
1996년 8월,58.039,45.639,40.229,59.557,56.567,73.224,61.683,53.157,138.515,93.329,50.31,62.22,55.435
1996년 9월,58.15,45.551,40.509,59.557,56.888,73.511,61.683,53.157,138.376,93.599,50.444,62.396,55.695
1996년 10월,58.15,45.201,40.509,59.676,57.05,73.439,61.683,53.205,138.376,93.509,50.489,62.455,56.267
1996년 11월,58.15,44.85,40.475,59.853,57.264,73.152,61.801,53.639,138.376,93.421,50.578,62.572,55.799
1996년 12월,58.368,45.069,40.475,59.913,57.319,72.866,62.037,54.747,138.237,93.779,50.712,62.689,55.954
1997년 1월,58.808,45.419,40.509,59.913,57.855,72.722,63.1,55.663,136.839,93.599,50.935,62.981,56.889
1997년 2월,59.136,45.857,40.509,59.971,58.177,73.009,63.572,56.193,134.187,94.496,51.159,63.156,56.993
1997년 3월,59.355,45.813,40.509,60.09,58.284,73.009,63.572,56.096,134.187,94.944,53.08,63.215,57.149
1997년 4월,59.629,46.514,40.509,60.149,58.499,73.081,63.513,56.001,134.187,94.764,53.437,63.39,57.254
1997년 5월,59.684,46.427,40.509,60.149,58.606,73.081,63.572,56.096,134.187,94.585,53.571,63.566,57.304
1997년 6월,59.793,46.427,40.65,60.208,58.821,73.224,63.631,56.24,134.187,93.958,53.705,63.741,57.357
1997년 7월,59.903,46.951,40.685,60.208,58.714,73.367,63.749,55.903,134.187,93.779,53.795,64.034,57.304
1997년 8월,60.341,47.914,40.895,61.629,59.036,73.511,63.69,55.856,134.047,93.599,53.795,64.268,57.565
1997년 9월,60.617,48.177,41,61.629,59.196,73.511,65.992,56.481,136.28,93.421,53.839,64.384,57.565
1997년 10월,60.617,47.739,41.035,62.103,59.196,73.654,65.756,56.675,136.28,93.241,53.928,64.443,57.721
1997년 11월,60.67,47.344,41.035,62.34,59.733,73.367,65.756,57.156,135.861,93.421,53.973,64.443,57.773
1997년 12월,62.205,47.87,41.175,62.399,62.792,73.511,65.638,62.939,135.723,93.868,54.198,65.262,59.021
1998년 1월,63.685,49.357,41.526,62.754,64.403,75.157,65.933,65.494,135.723,95.571,54.6,67.191,62.085
1998년 2월,64.782,50.319,41.911,62.931,65.851,76.802,66.228,67.952,134.326,97.633,55.046,67.776,62.968
1998년 3월,64.672,50.933,43.138,63.11,64.779,78.234,66.523,65.253,134.466,98.083,55.359,68.01,63.331
1998년 4월,64.891,51.546,43.593,63.287,64.832,79.165,66.642,65.398,134.885,97.903,55.359,67.776,63.331
1998년 5월,64.562,51.939,43.663,63.287,63.114,79.308,66.819,65.109,134.885,97.903,55.359,67.367,63.176
1998년 6월,64.288,50.801,43.804,63.346,62.899,79.308,67.291,66.024,134.885,97.274,55.314,67.016,62.968
1998년 7월,64.288,51.021,43.804,63.287,62.792,78.736,68.531,65.542,134.885,96.289,55.314,66.841,62.605
1998년 8월,64.507,52.377,43.838,63.287,62.686,77.304,68.59,65.205,134.885,96.379,55.314,66.724,62.292
1998년 9월,64.782,52.99,43.838,63.346,62.631,76.588,68.707,66.265,134.885,97.096,55.314,66.782,62.552
1998년 10월,65,53.121,43.804,63.583,62.363,76.517,68.826,68.192,134.746,97.096,55.27,66.724,62.605
1998년 11월,64.782,52.332,43.734,63.82,62.363,76.445,69.062,67.999,134.466,97.274,55.224,66.665,62.344
1998년 12월,64.672,52.508,43.663,63.997,61.986,76.445,69.121,67.615,134.326,97.724,55.18,66.431,61.929
1999년 1월,64.617,52.99,46.291,63.938,61.343,76.374,69.121,66.843,134.187,98.083,55.135,66.431,61.15
1999년 2월,64.891,54.039,46.257,63.938,61.021,77.161,69.003,66.795,134.187,99.247,55.135,66.431,60.994
1999년 3월,65,54.258,46.221,63.938,61.021,77.09,68.648,66.747,133.906,98.53,56.029,66.607,61.305
1999년 4월,65.164,54.608,46.186,63.938,61.075,76.946,68.472,67.469,135.582,97.544,56.029,66.607,61.254
1999년 5월,65.055,54.039,46.151,63.997,61.235,76.875,68.413,67.615,135.304,97.274,56.073,66.49,61.098
1999년 6월,64.672,52.64,46.186,64.649,61.075,76.731,68.472,67.518,135.304,96.648,56.073,66.549,60.734
1999년 7월,64.452,52.07,46.151,64.708,61.021,76.588,68.413,67.469,135.304,96.379,56.073,66.49,60.683
1999년 8월,65.111,54.434,46.151,64.708,60.968,76.445,68.413,67.662,134.604,96.468,56.119,66.49,61.15
1999년 9월,65.275,54.697,46.151,64.708,61.235,76.302,68.354,68.29,133.21,96.379,56.119,66.49,61.15
